Date,Close (S_t),Daily log returns (using Close): ln(S_(t+1)/S_t),,,T,r_t,d1,d2,BS Price,Delta,Bank,Rdelta,Rbank,Rtotal,,Value at T,S_t= 134.87
7/1/2022,138.929993,,"Standard deviation (volatility, daily)",,0.37,1.27,-0.761581427,-0.852125595,1.54699434,0.222925813,-2942.40873,0,0,0,,,
7/5/2022,141.559998,0.81%,0.94%,,0.36,1.33,-0.556024267,-0.646075002,2.201942478,0.288803534,-3868.108522,932.5650053,-925.8480761,6.716929196,,Call payoff,0
7/6/2022,142.919998,0.42%,Annualized volatility (*sqrt(252),,0.36,1.36,-0.452104618,-0.541659203,2.597257968,0.325269774,-4389.029748,521.1754948,-521.1253712,0.050123591,,Delta Value,0
7/7/2022,146.350006,1.03%,14.99%,,0.35,1.55,-0.181777678,-0.270833348,3.89093242,0.427453606,-5866.690538,1495.460443,-1477.897652,17.56279062,,Bank,0
7/8/2022,147.039993,0.20%,Apple dividend yield  (source: https://finance.yahoo.com/quote/AAPL?p=AAPL),,0.35,1.57,-0.129975381,-0.218529324,4.16513247,0.447852681,-6168.712261,299.9479845,-302.3825596,-2.434575056,,Portfolio,0
7/11/2022,144.869995,-0.65%,0.65%,,0.35,1.58,-0.300273138,-0.388322496,3.235733246,0.381613522,-5204.861578,-959.6066633,963.4663745,3.859711213,,,
7/12/2022,145.860001,0.30%,Continuous dividend:  (log(1+annual D rate)),,0.34,1.63,-0.223365131,-0.310906996,3.606221118,0.411230593,-5637.587359,431.9946006,-433.0521073,-1.057506775,,Fv rebalance,1402.030194
7/13/2022,145.490005,-0.11%,0.28%,,0.34,1.78,-0.249172039,-0.336203452,3.452311105,0.401232866,-5492.306058,-145.4569351,144.9166596,-0.540275526,,,
7/14/2022,148.470001,0.88%,"Interest rates, varying daily (r_t): ",,0.33,1.99,-0.009411748,-0.095929696,4.798198159,0.495780088,-6881.0272,1403.742614,-1389.109078,14.63353692,,Net Profit,-1402.030194
7/15/2022,150.169998,0.49%,https://home.treasury.gov/resource-center/data-chart-center/interest-rates/TextView?type=daily_treasury_yield_curve&field_tdr_date_value=2022,,0.33,1.98,0.121224375,0.035222956,5.647297636,0.547735486,-7660.61392,780.2142014,-780.1300811,0.084120225,,,
